,emoji,group,subgroup,name,qualified_status,edition,codepoint_readable,utf8_codepoint
39,😶‍🌫,Smileys & Emotion,face-neutral-skeptical,face in clouds,minimally-qualified,E13.1,1F636 200D 1F32B,\U0001f636\u200d\U0001f32b
40,😏,Smileys & Emotion,face-neutral-skeptical,smirking face,fully-qualified,E0.6,1F60F,\U0001f60f
41,😒,Smileys & Emotion,face-neutral-skeptical,unamused face,fully-qualified,E0.6,1F612,\U0001f612
42,🙄,Smileys & Emotion,face-neutral-skeptical,face with rolling eyes,fully-qualified,E1.0,1F644,\U0001f644
43,😬,Smileys & Emotion,face-neutral-skeptical,grimacing face,fully-qualified,E1.0,1F62C,\U0001f62c
44,😮‍💨,Smileys & Emotion,face-neutral-skeptical,face exhaling,fully-qualified,E13.1,1F62E 200D 1F4A8,\U0001f62e\u200d\U0001f4a8
45,🤥,Smileys & Emotion,face-neutral-skeptical,lying face,fully-qualified,E3.0,1F925,\U0001f925
46,😌,Smileys & Emotion,face-sleepy,relieved face,fully-qualified,E0.6,1F60C,\U0001f60c
47,😔,Smileys & Emotion,face-sleepy,pensive face,fully-qualified,E0.6,1F614,\U0001f614
48,😪,Smileys & Emotion,face-sleepy,sleepy face,fully-qualified,E0.6,1F62A,\U0001f62a
49,🤤,Smileys & Emotion,face-sleepy,drooling face,fully-qualified,E3.0,1F924,\U0001f924
50,😴,Smileys & Emotion,face-sleepy,sleeping face,fully-qualified,E1.0,1F634,\U0001f634
51,😷,Smileys & Emotion,face-unwell,face with medical mask,fully-qualified,E0.6,1F637,\U0001f637
52,🤒,Smileys & Emotion,face-unwell,face with thermometer,fully-qualified,E1.0,1F912,\U0001f912
53,🤕,Smileys & Emotion,face-unwell,face with head-bandage,fully-qualified,E1.0,1F915,\U0001f915
54,🤢,Smileys & Emotion,face-unwell,nauseated face,fully-qualified,E3.0,1F922,\U0001f922
55,🤮,Smileys & Emotion,face-unwell,face vomiting,fully-qualified,E5.0,1F92E,\U0001f92e
56,🤧,Smileys & Emotion,face-unwell,sneezing face,fully-qualified,E3.0,1F927,\U0001f927
57,🥵,Smileys & Emotion,face-unwell,hot face,fully-qualified,E11.0,1F975,\U0001f975
58,🥶,Smileys & Emotion,face-unwell,cold face,fully-qualified,E11.0,1F976,\U0001f976
59,🥴,Smileys & Emotion,face-unwell,woozy face,fully-qualified,E11.0,1F974,\U0001f974
60,😵,Smileys & Emotion,face-unwell,knocked-out face,fully-qualified,E0.6,1F635,\U0001f635
61,😵‍💫,Smileys & Emotion,face-unwell,face with spiral eyes,fully-qualified,E13.1,1F635 200D 1F4AB,\U0001f635\u200d\U0001f4ab
62,🤯,Smileys & Emotion,face-unwell,exploding head,fully-qualified,E5.0,1F92F,\U0001f92f
63,🤠,Smileys & Emotion,face-hat,cowboy hat face,fully-qualified,E3.0,1F920,\U0001f920
64,🥳,Smileys & Emotion,face-hat,partying face,fully-qualified,E11.0,1F973,\U0001f973
65,🥸,Smileys & Emotion,face-hat,disguised face,fully-qualified,E13.0,1F978,\U0001f978
66,😎,Smileys & Emotion,face-glasses,smiling face with sunglasses,fully-qualified,E1.0,1F60E,\U0001f60e
67,🤓,Smileys & Emotion,face-glasses,nerd face,fully-qualified,E1.0,1F913,\U0001f913
68,🧐,Smileys & Emotion,face-glasses,face with monocle,fully-qualified,E5.0,1F9D0,\U0001f9d0
69,😕,Smileys & Emotion,face-concerned,confused face,fully-qualified,E1.0,1F615,\U0001f615
70,😟,Smileys & Emotion,face-concerned,worried face,fully-qualified,E1.0,1F61F,\U0001f61f
71,🙁,Smileys & Emotion,face-concerned,slightly frowning face,fully-qualified,E1.0,1F641,\U0001f641
72,☹️,Smileys & Emotion,face-concerned,frowning face,fully-qualified,E0.7,2639 FE0F,\u2639\ufe0f
73,☹,Smileys & Emotion,face-concerned,frowning face,unqualified,E0.7,2639,\u2639
74,😮,Smileys & Emotion,face-concerned,face with open mouth,fully-qualified,E1.0,1F62E,\U0001f62e
75,😯,Smileys & Emotion,face-concerned,hushed face,fully-qualified,E1.0,1F62F,\U0001f62f
76,😲,Smileys & Emotion,face-concerned,astonished face,fully-qualified,E0.6,1F632,\U0001f632
77,😳,Smileys & Emotion,face-concerned,flushed face,fully-qualified,E0.6,1F633,\U0001f633
78,🥺,Smileys & Emotion,face-concerned,pleading face,fully-qualified,E11.0,1F97A,\U0001f97a
79,😦,Smileys & Emotion,face-concerned,frowning face with open mouth,fully-qualified,E1.0,1F626,\U0001f626
80,😧,Smileys & Emotion,face-concerned,anguished face,fully-qualified,E1.0,1F627,\U0001f627
81,😨,Smileys & Emotion,face-concerned,fearful face,fully-qualified,E0.6,1F628,\U0001f628
82,😰,Smileys & Emotion,face-concerned,anxious face with sweat,fully-qualified,E0.6,1F630,\U0001f630
83,😥,Smileys & Emotion,face-concerned,sad but relieved face,fully-qualified,E0.6,1F625,\U0001f625
84,😢,Smileys & Emotion,face-concerned,crying face,fully-qualified,E0.6,1F622,\U0001f622
85,😭,Smileys & Emotion,face-concerned,loudly crying face,fully-qualified,E0.6,1F62D,\U0001f62d
86,😱,Smileys & Emotion,face-concerned,face screaming in fear,fully-qualified,E0.6,1F631,\U0001f631
87,😖,Smileys & Emotion,face-concerned,confounded face,fully-qualified,E0.6,1F616,\U0001f616
88,😣,Smileys & Emotion,face-concerned,persevering face,fully-qualified,E0.6,1F623,\U0001f623
89,😞,Smileys & Emotion,face-concerned,disappointed face,fully-qualified,E0.6,1F61E,\U0001f61e
90,😓,Smileys & Emotion,face-concerned,downcast face with sweat,fully-qualified,E0.6,1F613,\U0001f613
91,😩,Smileys & Emotion,face-concerned,weary face,fully-qualified,E0.6,1F629,\U0001f629
92,😫,Smileys & Emotion,face-concerned,tired face,fully-qualified,E0.6,1F62B,\U0001f62b
93,🥱,Smileys & Emotion,face-concerned,yawning face,fully-qualified,E12.0,1F971,\U0001f971
94,😤,Smileys & Emotion,face-negative,face with steam from nose,fully-qualified,E0.6,1F624,\U0001f624
95,😡,Smileys & Emotion,face-negative,pouting face,fully-qualified,E0.6,1F621,\U0001f621
96,😠,Smileys & Emotion,face-negative,angry face,fully-qualified,E0.6,1F620,\U0001f620
97,🤬,Smileys & Emotion,face-negative,face with symbols on mouth,fully-qualified,E5.0,1F92C,\U0001f92c
98,😈,Smileys & Emotion,face-negative,smiling face with horns,fully-qualified,E1.0,1F608,\U0001f608
99,👿,Smileys & Emotion,face-negative,angry face with horns,fully-qualified,E0.6,1F47F,\U0001f47f
100,💀,Smileys & Emotion,face-negative,skull,fully-qualified,E0.6,1F480,\U0001f480
101,☠️,Smileys & Emotion,face-negative,skull and crossbones,fully-qualified,E1.0,2620 FE0F,\u2620\ufe0f
102,☠,Smileys & Emotion,face-negative,skull and crossbones,unqualified,E1.0,2620,\u2620
103,💩,Smileys & Emotion,face-costume,pile of poo,fully-qualified,E0.6,1F4A9,\U0001f4a9
104,🤡,Smileys & Emotion,face-costume,clown face,fully-qualified,E3.0,1F921,\U0001f921
105,👹,Smileys & Emotion,face-costume,ogre,fully-qualified,E0.6,1F479,\U0001f479
106,👺,Smileys & Emotion,face-costume,goblin,fully-qualified,E0.6,1F47A,\U0001f47a
107,👻,Smileys & Emotion,face-costume,ghost,fully-qualified,E0.6,1F47B,\U0001f47b
108,👽,Smileys & Emotion,face-costume,alien,fully-qualified,E0.6,1F47D,\U0001f47d
109,👾,Smileys & Emotion,face-costume,alien monster,fully-qualified,E0.6,1F47E,\U0001f47e
110,🤖,Smileys & Emotion,face-costume,robot,fully-qualified,E1.0,1F916,\U0001f916
111,😺,Smileys & Emotion,cat-face,grinning cat,fully-qualified,E0.6,1F63A,\U0001f63a
112,😸,Smileys & Emotion,cat-face,grinning cat with smiling eyes,fully-qualified,E0.6,1F638,\U0001f638
113,😹,Smileys & Emotion,cat-face,cat with tears of joy,fully-qualified,E0.6,1F639,\U0001f639
114,😻,Smileys & Emotion,cat-face,smiling cat with heart-eyes,fully-qualified,E0.6,1F63B,\U0001f63b
115,😼,Smileys & Emotion,cat-face,cat with wry smile,fully-qualified,E0.6,1F63C,\U0001f63c
116,😽,Smileys & Emotion,cat-face,kissing cat,fully-qualified,E0.6,1F63D,\U0001f63d
117,🙀,Smileys & Emotion,cat-face,weary cat,fully-qualified,E0.6,1F640,\U0001f640
118,😿,Smileys & Emotion,cat-face,crying cat,fully-qualified,E0.6,1F63F,\U0001f63f
119,😾,Smileys & Emotion,cat-face,pouting cat,fully-qualified,E0.6,1F63E,\U0001f63e
120,🙈,Smileys & Emotion,monkey-face,see-no-evil monkey,fully-qualified,E0.6,1F648,\U0001f648
121,🙉,Smileys & Emotion,monkey-face,hear-no-evil monkey,fully-qualified,E0.6,1F649,\U0001f649
122,🙊,Smileys & Emotion,monkey-face,speak-no-evil monkey,fully-qualified,E0.6,1F64A,\U0001f64a
123,💋,Smileys & Emotion,emotion,kiss mark,fully-qualified,E0.6,1F48B,\U0001f48b
124,💌,Smileys & Emotion,emotion,love letter,fully-qualified,E0.6,1F48C,\U0001f48c
125,💘,Smileys & Emotion,emotion,heart with arrow,fully-qualified,E0.6,1F498,\U0001f498
126,💝,Smileys & Emotion,emotion,heart with ribbon,fully-qualified,E0.6,1F49D,\U0001f49d
127,💖,Smileys & Emotion,emotion,sparkling heart,fully-qualified,E0.6,1F496,\U0001f496
128,💗,Smileys & Emotion,emotion,growing heart,fully-qualified,E0.6,1F497,\U0001f497
129,💓,Smileys & Emotion,emotion,beating heart,fully-qualified,E0.6,1F493,\U0001f493
130,💞,Smileys & Emotion,emotion,revolving hearts,fully-qualified,E0.6,1F49E,\U0001f49e
131,💕,Smileys & Emotion,emotion,two hearts,fully-qualified,E0.6,1F495,\U0001f495
132,💟,Smileys & Emotion,emotion,heart decoration,fully-qualified,E0.6,1F49F,\U0001f49f
133,❣️,Smileys & Emotion,emotion,heart exclamation,fully-qualified,E1.0,2763 FE0F,\u2763\ufe0f
134,❣,Smileys & Emotion,emotion,heart exclamation,unqualified,E1.0,2763,\u2763
135,💔,Smileys & Emotion,emotion,broken heart,fully-qualified,E0.6,1F494,\U0001f494
136,❤️‍🔥,Smileys & Emotion,emotion,heart on fire,fully-qualified,E13.1,2764 FE0F 200D 1F525,\u2764\ufe0f\u200d\U0001f525
137,❤‍🔥,Smileys & Emotion,emotion,heart on fire,unqualified,E13.1,2764 200D 1F525,\u2764\u200d\U0001f525
138,❤️‍🩹,Smileys & Emotion,emotion,mending heart,fully-qualified,E13.1,2764 FE0F 200D 1FA79,\u2764\ufe0f\u200d\U0001fa79
139,❤‍🩹,Smileys & Emotion,emotion,mending heart,unqualified,E13.1,2764 200D 1FA79,\u2764\u200d\U0001fa79
140,❤️,Smileys & Emotion,emotion,red heart,fully-qualified,E0.6,2764 FE0F,\u2764\ufe0f
141,❤,Smileys & Emotion,emotion,red heart,unqualified,E0.6,2764,\u2764
142,🧡,Smileys & Emotion,emotion,orange heart,fully-qualified,E5.0,1F9E1,\U0001f9e1
143,💛,Smileys & Emotion,emotion,yellow heart,fully-qualified,E0.6,1F49B,\U0001f49b
144,💚,Smileys & Emotion,emotion,green heart,fully-qualified,E0.6,1F49A,\U0001f49a
145,💙,Smileys & Emotion,emotion,blue heart,fully-qualified,E0.6,1F499,\U0001f499
146,💜,Smileys & Emotion,emotion,purple heart,fully-qualified,E0.6,1F49C,\U0001f49c
147,🤎,Smileys & Emotion,emotion,brown heart,fully-qualified,E12.0,1F90E,\U0001f90e
148,🖤,Smileys & Emotion,emotion,black heart,fully-qualified,E3.0,1F5A4,\U0001f5a4
149,🤍,Smileys & Emotion,emotion,white heart,fully-qualified,E12.0,1F90D,\U0001f90d
150,💯,Smileys & Emotion,emotion,hundred points,fully-qualified,E0.6,1F4AF,\U0001f4af
151,💢,Smileys & Emotion,emotion,anger symbol,fully-qualified,E0.6,1F4A2,\U0001f4a2
152,💥,Smileys & Emotion,emotion,collision,fully-qualified,E0.6,1F4A5,\U0001f4a5
153,💫,Smileys & Emotion,emotion,dizzy,fully-qualified,E0.6,1F4AB,\U0001f4ab
154,💦,Smileys & Emotion,emotion,sweat droplets,fully-qualified,E0.6,1F4A6,\U0001f4a6
155,💨,Smileys & Emotion,emotion,dashing away,fully-qualified,E0.6,1F4A8,\U0001f4a8
156,🕳️,Smileys & Emotion,emotion,hole,fully-qualified,E0.7,1F573 FE0F,\U0001f573\ufe0f
157,🕳,Smileys & Emotion,emotion,hole,unqualified,E0.7,1F573,\U0001f573
158,💣,Smileys & Emotion,emotion,bomb,fully-qualified,E0.6,1F4A3,\U0001f4a3
159,💬,Smileys & Emotion,emotion,speech balloon,fully-qualified,E0.6,1F4AC,\U0001f4ac
160,👁️‍🗨️,Smileys & Emotion,emotion,eye in speech bubble,fully-qualified,E2.0,1F441 FE0F 200D 1F5E8 FE0F,\U0001f441\ufe0f\u200d\U0001f5e8\ufe0f
161,👁‍🗨️,Smileys & Emotion,emotion,eye in speech bubble,unqualified,E2.0,1F441 200D 1F5E8 FE0F,\U0001f441\u200d\U0001f5e8\ufe0f
162,👁️‍🗨,Smileys & Emotion,emotion,eye in speech bubble,unqualified,E2.0,1F441 FE0F 200D 1F5E8,\U0001f441\ufe0f\u200d\U0001f5e8
163,👁‍🗨,Smileys & Emotion,emotion,eye in speech bubble,unqualified,E2.0,1F441 200D 1F5E8,\U0001f441\u200d\U0001f5e8
164,🗨️,Smileys & Emotion,emotion,left speech bubble,fully-qualified,E2.0,1F5E8 FE0F,\U0001f5e8\ufe0f
165,🗨,Smileys & Emotion,emotion,left speech bubble,unqualified,E2.0,1F5E8,\U0001f5e8
166,🗯️,Smileys & Emotion,emotion,right anger bubble,fully-qualified,E0.7,1F5EF FE0F,\U0001f5ef\ufe0f
167,🗯,Smileys & Emotion,emotion,right anger bubble,unqualified,E0.7,1F5EF,\U0001f5ef
168,💭,Smileys & Emotion,emotion,thought balloon,fully-qualified,E1.0,1F4AD,\U0001f4ad
169,💤,Smileys & Emotion,emotion,zzz,fully-qualified,E0.6,1F4A4,\U0001f4a4
170,👋,People & Body,hand-fingers-open,waving hand,fully-qualified,E0.6,1F44B,\U0001f44b
171,👋🏻,People & Body,hand-fingers-open,waving hand: light skin tone,fully-qualified,E1.0,1F44B 1F3FB,\U0001f44b\U0001f3fb
172,👋🏼,People & Body,hand-fingers-open,waving hand: medium-light skin tone,fully-qualified,E1.0,1F44B 1F3FC,\U0001f44b\U0001f3fc
173,👋🏽,People & Body,hand-fingers-open,waving hand: medium skin tone,fully-qualified,E1.0,1F44B 1F3FD,\U0001f44b\U0001f3fd
174,👋🏾,People & Body,hand-fingers-open,waving hand: medium-dark skin tone,fully-qualified,E1.0,1F44B 1F3FE,\U0001f44b\U0001f3fe
175,👋🏿,People & Body,hand-fingers-open,waving hand: dark skin tone,fully-qualified,E1.0,1F44B 1F3FF,\U0001f44b\U0001f3ff
176,🤚,People & Body,hand-fingers-open,raised back of hand,fully-qualified,E3.0,1F91A,\U0001f91a
177,🤚🏻,People & Body,hand-fingers-open,raised back of hand: light skin tone,fully-qualified,E3.0,1F91A 1F3FB,\U0001f91a\U0001f3fb
178,🤚🏼,People & Body,hand-fingers-open,raised back of hand: medium-light skin tone,fully-qualified,E3.0,1F91A 1F3FC,\U0001f91a\U0001f3fc
179,🤚🏽,People & Body,hand-fingers-open,raised back of hand: medium skin tone,fully-qualified,E3.0,1F91A 1F3FD,\U0001f91a\U0001f3fd
180,🤚🏾,People & Body,hand-fingers-open,raised back of hand: medium-dark skin tone,fully-qualified,E3.0,1F91A 1F3FE,\U0001f91a\U0001f3fe
181,🤚🏿,People & Body,hand-fingers-open,raised back of hand: dark skin tone,fully-qualified,E3.0,1F91A 1F3FF,\U0001f91a\U0001f3ff
182,🖐️,People & Body,hand-fingers-open,hand with fingers splayed,fully-qualified,E0.7,1F590 FE0F,\U0001f590\ufe0f
183,🖐,People & Body,hand-fingers-open,hand with fingers splayed,unqualified,E0.7,1F590,\U0001f590
184,🖐🏻,People & Body,hand-fingers-open,hand with fingers splayed: light skin tone,fully-qualified,E1.0,1F590 1F3FB,\U0001f590\U0001f3fb
185,🖐🏼,People & Body,hand-fingers-open,hand with fingers splayed: medium-light skin tone,fully-qualified,E1.0,1F590 1F3FC,\U0001f590\U0001f3fc
186,🖐🏽,People & Body,hand-fingers-open,hand with fingers splayed: medium skin tone,fully-qualified,E1.0,1F590 1F3FD,\U0001f590\U0001f3fd
187,🖐🏾,People & Body,hand-fingers-open,hand with fingers splayed: medium-dark skin tone,fully-qualified,E1.0,1F590 1F3FE,\U0001f590\U0001f3fe
188,🖐🏿,People & Body,hand-fingers-open,hand with fingers splayed: dark skin tone,fully-qualified,E1.0,1F590 1F3FF,\U0001f590\U0001f3ff
189,✋,People & Body,hand-fingers-open,raised hand,fully-qualified,E0.6,270B,\u270b
190,✋🏻,People & Body,hand-fingers-open,raised hand: light skin tone,fully-qualified,E1.0,270B 1F3FB,\u270b\U0001f3fb
191,✋🏼,People & Body,hand-fingers-open,raised hand: medium-light skin tone,fully-qualified,E1.0,270B 1F3FC,\u270b\U0001f3fc
192,✋🏽,People & Body,hand-fingers-open,raised hand: medium skin tone,fully-qualified,E1.0,270B 1F3FD,\u270b\U0001f3fd
193,✋🏾,People & Body,hand-fingers-open,raised hand: medium-dark skin tone,fully-qualified,E1.0,270B 1F3FE,\u270b\U0001f3fe
194,✋🏿,People & Body,hand-fingers-open,raised hand: dark skin tone,fully-qualified,E1.0,270B 1F3FF,\u270b\U0001f3ff
195,🖖,People & Body,hand-fingers-open,vulcan salute,fully-qualified,E1.0,1F596,\U0001f596
196,🖖🏻,People & Body,hand-fingers-open,vulcan salute: light skin tone,fully-qualified,E1.0,1F596 1F3FB,\U0001f596\U0001f3fb
197,🖖🏼,People & Body,hand-fingers-open,vulcan salute: medium-light skin tone,fully-qualified,E1.0,1F596 1F3FC,\U0001f596\U0001f3fc
198,🖖🏽,People & Body,hand-fingers-open,vulcan salute: medium skin tone,fully-qualified,E1.0,1F596 1F3FD,\U0001f596\U0001f3fd
199,🖖🏾,People & Body,hand-fingers-open,vulcan salute: medium-dark skin tone,fully-qualified,E1.0,1F596 1F3FE,\U0001f596\U0001f3fe
200,🖖🏿,People & Body,hand-fingers-open,vulcan salute: dark skin tone,fully-qualified,E1.0,1F596 1F3FF,\U0001f596\U0001f3ff
201,👌,People & Body,hand-fingers-partial,OK hand,fully-qualified,E0.6,1F44C,\U0001f44c
202,👌🏻,People & Body,hand-fingers-partial,OK hand: light skin tone,fully-qualified,E1.0,1F44C 1F3FB,\U0001f44c\U0001f3fb
203,👌🏼,People & Body,hand-fingers-partial,OK hand: medium-light skin tone,fully-qualified,E1.0,1F44C 1F3FC,\U0001f44c\U0001f3fc
204,👌🏽,People & Body,hand-fingers-partial,OK hand: medium skin tone,fully-qualified,E1.0,1F44C 1F3FD,\U0001f44c\U0001f3fd
205,👌🏾,People & Body,hand-fingers-partial,OK hand: medium-dark skin tone,fully-qualified,E1.0,1F44C 1F3FE,\U0001f44c\U0001f3fe
206,👌🏿,People & Body,hand-fingers-partial,OK hand: dark skin tone,fully-qualified,E1.0,1F44C 1F3FF,\U0001f44c\U0001f3ff
207,🤌,People & Body,hand-fingers-partial,pinched fingers,fully-qualified,E13.0,1F90C,\U0001f90c
208,🤌🏻,People & Body,hand-fingers-partial,pinched fingers: light skin tone,fully-qualified,E13.0,1F90C 1F3FB,\U0001f90c\U0001f3fb
209,🤌🏼,People & Body,hand-fingers-partial,pinched fingers: medium-light skin tone,fully-qualified,E13.0,1F90C 1F3FC,\U0001f90c\U0001f3fc
210,🤌🏽,People & Body,hand-fingers-partial,pinched fingers: medium skin tone,fully-qualified,E13.0,1F90C 1F3FD,\U0001f90c\U0001f3fd
211,🤌🏾,People & Body,hand-fingers-partial,pinched fingers: medium-dark skin tone,fully-qualified,E13.0,1F90C 1F3FE,\U0001f90c\U0001f3fe
212,🤌🏿,People & Body,hand-fingers-partial,pinched fingers: dark skin tone,fully-qualified,E13.0,1F90C 1F3FF,\U0001f90c\U0001f3ff
213,🤏,People & Body,hand-fingers-partial,pinching hand,fully-qualified,E12.0,1F90F,\U0001f90f
214,🤏🏻,People & Body,hand-fingers-partial,pinching hand: light skin tone,fully-qualified,E12.0,1F90F 1F3FB,\U0001f90f\U0001f3fb
215,🤏🏼,People & Body,hand-fingers-partial,pinching hand: medium-light skin tone,fully-qualified,E12.0,1F90F 1F3FC,\U0001f90f\U0001f3fc
216,🤏🏽,People & Body,hand-fingers-partial,pinching hand: medium skin tone,fully-qualified,E12.0,1F90F 1F3FD,\U0001f90f\U0001f3fd
217,🤏🏾,People & Body,hand-fingers-partial,pinching hand: medium-dark skin tone,fully-qualified,E12.0,1F90F 1F3FE,\U0001f90f\U0001f3fe
218,🤏🏿,People & Body,hand-fingers-partial,pinching hand: dark skin tone,fully-qualified,E12.0,1F90F 1F3FF,\U0001f90f\U0001f3ff
219,✌️,People & Body,hand-fingers-partial,victory hand,fully-qualified,E0.6,270C FE0F,\u270c\ufe0f
220,✌,People & Body,hand-fingers-partial,victory hand,unqualified,E0.6,270C,\u270c
221,✌🏻,People & Body,hand-fingers-partial,victory hand: light skin tone,fully-qualified,E1.0,270C 1F3FB,\u270c\U0001f3fb
222,✌🏼,People & Body,hand-fingers-partial,victory hand: medium-light skin tone,fully-qualified,E1.0,270C 1F3FC,\u270c\U0001f3fc
223,✌🏽,People & Body,hand-fingers-partial,victory hand: medium skin tone,fully-qualified,E1.0,270C 1F3FD,\u270c\U0001f3fd
224,✌🏾,People & Body,hand-fingers-partial,victory hand: medium-dark skin tone,fully-qualified,E1.0,270C 1F3FE,\u270c\U0001f3fe
225,✌🏿,People & Body,hand-fingers-partial,victory hand: dark skin tone,fully-qualified,E1.0,270C 1F3FF,\u270c\U0001f3ff
226,🤞,People & Body,hand-fingers-partial,crossed fingers,fully-qualified,E3.0,1F91E,\U0001f91e
227,🤞🏻,People & Body,hand-fingers-partial,crossed fingers: light skin tone,fully-qualified,E3.0,1F91E 1F3FB,\U0001f91e\U0001f3fb
228,🤞🏼,People & Body,hand-fingers-partial,crossed fingers: medium-light skin tone,fully-qualified,E3.0,1F91E 1F3FC,\U0001f91e\U0001f3fc
229,🤞🏽,People & Body,hand-fingers-partial,crossed fingers: medium skin tone,fully-qualified,E3.0,1F91E 1F3FD,\U0001f91e\U0001f3fd
230,🤞🏾,People & Body,hand-fingers-partial,crossed fingers: medium-dark skin tone,fully-qualified,E3.0,1F91E 1F3FE,\U0001f91e\U0001f3fe
231,🤞🏿,People & Body,hand-fingers-partial,crossed fingers: dark skin tone,fully-qualified,E3.0,1F91E 1F3FF,\U0001f91e\U0001f3ff
232,🤟,People & Body,hand-fingers-partial,love-you gesture,fully-qualified,E5.0,1F91F,\U0001f91f
233,🤟🏻,People & Body,hand-fingers-partial,love-you gesture: light skin tone,fully-qualified,E5.0,1F91F 1F3FB,\U0001f91f\U0001f3fb
234,🤟🏼,People & Body,hand-fingers-partial,love-you gesture: medium-light skin tone,fully-qualified,E5.0,1F91F 1F3FC,\U0001f91f\U0001f3fc
235,🤟🏽,People & Body,hand-fingers-partial,love-you gesture: medium skin tone,fully-qualified,E5.0,1F91F 1F3FD,\U0001f91f\U0001f3fd
236,🤟🏾,People & Body,hand-fingers-partial,love-you gesture: medium-dark skin tone,fully-qualified,E5.0,1F91F 1F3FE,\U0001f91f\U0001f3fe
